"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"HP",2,"Large",0,1234,939
"HP",2,"Medium",2,537,433
"MSI",2,"Medium",4,809,392
"HP",2,"Small",4,843,261
"MSI",2,"Medium",0,1228,876
"MSI",3,"Medium",3,1060,581
"MSI",4,"Medium",0,1331,996
"MSI",1,"Small",5,1011,250
"HP",1,"Small",2,736,471
"Apple",4,"Large",2,783,731
"HP",4,"Large",3,1097,512
"HP",2,"Medium",1,805,607
"HP",3,"Large",2,1124,678
"HP",3,"Large",3,998,581
"HP",2,"Large",3,969,554
"HP",2,"Large",2,1095,719
"Apple",2,"Small",6,826,105
"HP",0,"Medium",2,702,481
"HP",1,"Large",2,613,532
"HP",0,"Medium",3,986,504
"Apple",1,"Small",0,848,740
"MSI",3,"Medium",2,981,629
"HP",3,"Medium",1,773,662
"HP",3,"Small",1,890,508
"MSI",2,"Medium",4,942,378
"MSI",4,"Large",2,1137,772
"HP",1,"Large",3,736,521
"MSI",2,"Medium",0,843,860
"MSI",5,"Medium",2,909,676
"HP",0,"Large",0,1034,852
"MSI",1,"Large",1,966,822
"HP",3,"Medium",0,1160,868
"MSI",3,"Medium",1,1259,834
"HP",2,"Medium",2,662,527
"MSI",2,"Small",4,1225,417
"MSI",0,"Medium",2,1283,694
"MSI",3,"Medium",2,1116,701
"HP",6,"Large",2,1084,670
"HP",1,"Medium",3,1185,541
"MSI",0,"Small",2,1116,554
"MSI",4,"Small",0,926,707
"HP",3,"Small",2,1041,522
"HP",1,"Medium",3,1125,564
"HP",2,"Medium",0,1100,820
"MSI",3,"Small",3,970,371
"HP",2,"Small",0,1380,819
"HP",0,"Large",2,846,610
"MSI",1,"Medium",3,764,504
"MSI",2,"Medium",3,1256,620
"MSI",1,"Medium",4,1015,472
"HP",1,"Large",2,1261,693
"HP",2,"Large",1,970,780
"MSI",2,"Medium",1,1232,847
"HP",3,"Medium",2,944,598
"MSI",4,"Large",0,934,856
"Apple",4,"Small",2,1157,642
"HP",3,"Large",2,859,633
"HP",5,"Medium",0,1053,853
"HP",3,"Large",2,958,629
"MSI",4,"Medium",3,929,531
"HP",2,"Large",1,1117,746
"HP",4,"Small",1,906,610
"HP",1,"Large",1,1152,827
"MSI",1,"Medium",5,560,222
"Apple",3,"Small",1,909,700
"Apple",4,"Large",3,606,559
"HP",5,"Large",1,956,751
"HP",2,"Medium",1,716,598
"HP",1,"Medium",5,826,242
"MSI",1,"Medium",1,1075,773
"Apple",1,"Large",2,822,674
"HP",2,"Medium",0,977,792
"HP",3,"Medium",1,1086,731
"HP",2,"Small",2,839,455
"HP",3,"Medium",2,807,536
"HP",1,"Large",2,763,556
"MSI",1,"Medium",2,864,598
"MSI",5,"Medium",1,1121,763
"MSI",2,"Medium",1,844,745
"HP",3,"Medium",2,1122,635
"HP",2,"Medium",1,1040,680
"MSI",1,"Large",5,1161,432
"MSI",1,"Large",1,903,779
"HP",1,"Large",3,833,442
"MSI",4,"Small",1,872,578
"HP",3,"Medium",6,785,175
"HP",2,"Large",1,973,746
"HP",2,"Medium",2,1112,629
"MSI",2,"Large",2,1181,777
"MSI",2,"Large",1,850,717
"MSI",5,"Medium",1,846,745
"HP",4,"Medium",2,1023,561
"HP",1,"Large",2,795,597
"HP",0,"Medium",6,1112,249
"HP",4,"Large",3,850,495
"HP",1,"Medium",6,902,201
"HP",1,"Large",2,1060,659
"HP",1,"Small",3,1032,358
"HP",1,"Medium",3,936,461
"Apple",2,"Medium",4,1126,570
"HP",0,"Medium",0,1013,877
"HP",0,"Large",2,895,608
"MSI",1,"Medium",2,971,689
"HP",2,"Medium",0,1413,872
"MSI",0,"Large",2,1203,727
"HP",3,"Small",3,1124,432
"HP",3,"Medium",0,1096,850
"Apple",0,"Medium",3,912,539
"Apple",4,"Large",3,761,632
"Apple",0,"Small",0,682,707
"HP",2,"Large",2,854,591
"MSI",0,"Large",4,525,361
"MSI",1,"Large",6,1213,328
"MSI",0,"Medium",1,770,679
"HP",0,"Medium",1,1082,695
"HP",1,"Medium",3,827,458
"MSI",1,"Medium",1,1457,865
"HP",2,"Medium",4,851,338
"MSI",3,"Large",0,1046,920
"MSI",3,"Large",1,1025,818
"MSI",6,"Large",5,768,380
"MSI",0,"Small",2,944,576
"MSI",2,"Medium",1,1370,865
"HP",2,"Large",2,1046,654
"MSI",3,"Small",0,1017,785
"HP",1,"Medium",2,911,601
"MSI",0,"Small",1,978,582
"HP",1,"Medium",5,1066,319
"HP",1,"Small",0,839,626
"HP",3,"Medium",3,831,393
"HP",1,"Medium",2,1032,637
"MSI",1,"Large",1,652,676
"MSI",3,"Medium",5,944,309
"HP",0,"Small",4,1056,318
"HP",5,"Large",1,796,737
"HP",2,"Small",1,1179,662
"MSI",2,"Large",0,1072,935
"Apple",3,"Medium",0,1316,968
"MSI",0,"Medium",1,987,763
"HP",2,"Medium",2,1380,747
"MSI",2,"Large",2,1232,738
"HP",2,"Medium",3,1354,542
"MSI",6,"Large",2,842,721
"Apple",2,"Medium",0,1079,886
"HP",2,"Medium",1,884,647
"MSI",3,"Medium",3,1102,612
"MSI",2,"Large",1,1023,812
"Apple",3,"Medium",3,655,530
"HP",5,"Large",2,1115,671
"HP",3,"Large",0,1177,890
"MSI",2,"Small",3,795,366
"HP",3,"Medium",0,796,772
"MSI",0,"Large",2,933,686
"HP",4,"Medium",2,1381,690
"MSI",3,"Large",2,1132,783
"HP",1,"Medium",2,999,605
"HP",1,"Medium",2,601,471
"MSI",2,"Small",3,1219,483
"MSI",3,"Medium",1,1017,760
"HP",3,"Medium",2,885,592
"MSI",4,"Medium",1,812,711
"MSI",0,"Medium",0,1068,883
"MSI",4,"Medium",4,1082,421
"MSI",3,"Large",0,1067,946
"HP",2,"Medium",0,1355,875
"HP",3,"Medium",2,899,554
"Apple",1,"Medium",4,803,515
"MSI",3,"Medium",2,804,625
"MSI",2,"Large",5,1258,491
"HP",2,"Medium",4,1154,440
"HP",3,"Large",3,1171,539
"Apple",2,"Medium",2,1401,820
"HP",2,"Medium",3,1264,587
"MSI",2,"Medium",1,1211,848
"MSI",1,"Medium",2,1182,674
"HP",1,"Small",4,869,245
"MSI",1,"Medium",0,1151,846
"MSI",1,"Medium",2,1037,677
"MSI",2,"Medium",1,1194,855
"HP",2,"Large",1,867,697
"HP",0,"Large",1,1269,839
"HP",1,"Small",2,990,511
"MSI",6,"Large",4,1678,678
"MSI",3,"Small",2,1080,542
"HP",1,"Medium",1,1207,778
"HP",2,"Medium",1,1146,804
"HP",1,"Large",1,778,711
"MSI",0,"Large",3,1202,670
"HP",5,"Medium",1,1170,741
"HP",2,"Small",0,1170,754
"MSI",1,"Large",1,993,882
"HP",1,"Large",4,801,366
"HP",3,"Small",2,1350,559
"MSI",4,"Large",1,1085,766
"MSI",3,"Medium",1,957,704
"Apple",2,"Medium",0,1245,932
"HP",0,"Medium",4,1175,436
"HP",0,"Large",2,659,581
"HP",3,"Medium",3,910,498
"MSI",1,"Medium",6,1059,221
"MSI",2,"Large",2,968,675
"HP",2,"Medium",2,1268,711
"Apple",1,"Medium",1,1010,819
"HP",1,"Medium",1,1144,762
"MSI",0,"Large",0,1137,903
"HP",4,"Large",0,713,863
"MSI",0,"Large",2,1291,778
"MSI",2,"Medium",4,914,474
"HP",3,"Medium",0,727,724
"HP",3,"Small",1,972,577
"HP",1,"Large",3,1204,620
"HP",4,"Medium",1,810,672
"MSI",2,"Small",2,800,536
"MSI",0,"Large",1,596,665
"MSI",3,"Large",1,1260,912
"MSI",1,"Small",3,1033,440
"HP",3,"Large",2,901,639
"HP",1,"Medium",0,962,766
"Apple",2,"Medium",2,1559,861
"HP",2,"Medium",4,1011,410
"MSI",1,"Large",2,683,640
"HP",2,"Medium",0,1046,806
"HP",2,"Medium",1,650,615
"HP",2,"Medium",2,1259,600
"MSI",2,"Large",2,1483,819
"HP",4,"Medium",4,635,318
"MSI",2,"Large",2,1161,746
"HP",0,"Large",3,1022,546
"MSI",1,"Medium",0,967,832
"HP",2,"Medium",2,1059,656
"HP",0,"Medium",3,861,405
"MSI",1,"Medium",1,1074,731
"HP",2,"Medium",1,1189,756
"HP",2,"Medium",0,763,756
"HP",5,"Medium",0,1069,774
"HP",1,"Large",4,959,408
"HP",2,"Medium",1,979,693
"MSI",1,"Large",1,1053,810
"HP",0,"Medium",2,1187,669
"MSI",0,"Medium",3,1274,644
"HP",4,"Large",4,763,387
"MSI",4,"Large",2,1177,731
"HP",2,"Large",2,742,586
"MSI",2,"Medium",2,884,612
"MSI",3,"Medium",2,881,609
"HP",3,"Large",1,1146,776
"HP",2,"Small",0,915,752
"HP",0,"Medium",1,874,668
"HP",3,"Medium",1,982,693
"MSI",2,"Medium",2,834,606
"MSI",5,"Large",2,1315,826
"HP",3,"Medium",3,934,466
"HP",1,"Medium",5,947,299
"HP",1,"Small",4,1019,349
"MSI",0,"Medium",2,748,647
"MSI",2,"Large",0,1130,912
"HP",2,"Large",1,1084,834
"HP",0,"Medium",4,1170,477
"Apple",2,"Small",2,900,532
"MSI",3,"Medium",6,883,178
"HP",0,"Large",5,1566,473
"HP",3,"Medium",1,911,724
"MSI",2,"Medium",1,1237,770
"MSI",1,"Medium",2,1000,702
"MSI",2,"Medium",2,1050,676
"HP",1,"Large",1,902,756
"HP",4,"Medium",1,1088,709
"HP",2,"Medium",2,696,535
"MSI",1,"Medium",2,1046,707
"Apple",2,"Large",2,937,730
"MSI",3,"Medium",2,1168,644
"HP",2,"Small",1,960,617
"MSI",2,"Large",2,1000,658
"HP",1,"Small",1,1296,737
"Apple",0,"Medium",2,1180,745
"HP",2,"Large",0,781,746
"HP",0,"Medium",4,860,409
"HP",4,"Medium",4,1356,509
"HP",0,"Medium",1,599,583
"HP",1,"Medium",3,1126,592
"MSI",1,"Large",0,873,899
"MSI",2,"Large",1,1143,812
"HP",2,"Small",1,1088,649
"Apple",1,"Small",3,490,381
"HP",2,"Large",0,802,786
"MSI",0,"Medium",3,1089,575
"Apple",2,"Medium",1,1124,857
"HP",1,"Small",5,630,69
"MSI",3,"Small",1,989,582
"MSI",4,"Medium",4,1070,503
"Apple",3,"Medium",4,1043,515
"HP",1,"Large",1,813,680
"MSI",1,"Medium",1,1094,812
"MSI",2,"Small",3,1299,509
"HP",1,"Medium",1,870,687
"HP",0,"Large",3,843,531
"HP",1,"Medium",2,1208,726
"MSI",0,"Medium",2,1170,610
"MSI",2,"Large",1,1174,853
"HP",0,"Medium",2,1285,681
"MSI",5,"Medium",1,1221,830
"HP",0,"Medium",2,565,458
"HP",2,"Large",0,986,879
"MSI",1,"Medium",4,861,397
"HP",2,"Large",0,1103,887
"MSI",1,"Medium",0,662,762
"HP",2,"Large",3,977,518
"Apple",0,"Medium",2,1065,723
"MSI",4,"Large",3,756,550
"HP",2,"Large",3,1033,575
"MSI",0,"Medium",0,809,792
"HP",2,"Large",2,1093,723
"Apple",3,"Large",1,1350,945
"HP",2,"Large",2,766,576
"MSI",0,"Medium",4,795,384
"MSI",3,"Large",1,1316,934
"HP",2,"Medium",0,928,742
"HP",1,"Large",1,1130,810
"HP",0,"Large",1,1267,823
"MSI",2,"Small",0,986,739
"Apple",4,"Large",2,767,669
"MSI",2,"Large",1,947,783
"HP",1,"Large",4,971,363
"Apple",2,"Large",2,875,747
"Apple",3,"Medium",1,801,747
"MSI",3,"Large",1,1143,842
"MSI",5,"Large",6,999,344
"HP",3,"Medium",4,1034,387
"MSI",0,"Medium",2,1071,709
"HP",1,"Large",2,1222,758
"MSI",2,"Large",0,967,903
"HP",0,"Medium",2,1485,760
"MSI",4,"Medium",2,986,646
"HP",2,"Medium",2,566,452
"HP",2,"Small",1,985,622
"HP",5,"Large",2,999,689
"HP",1,"Medium",2,948,626
"HP",3,"Medium",1,942,717
"MSI",2,"Large",6,829,297
"MSI",6,"Medium",3,916,518
"HP",2,"Large",2,1021,649
"HP",0,"Medium",3,1121,545
"Apple",1,"Large",3,1637,840
"MSI",4,"Medium",3,808,487
"HP",3,"Large",3,1223,618
"HP",1,"Small",2,980,515
"HP",3,"Large",0,933,830
"HP",3,"Medium",1,748,645
"MSI",2,"Medium",2,1015,726
"MSI",0,"Medium",4,853,408
"MSI",1,"Medium",4,1165,487
"HP",4,"Large",1,1118,792
"Apple",1,"Medium",3,720,498
"HP",3,"Medium",3,1037,474
"HP",1,"Small",5,1136,234
"HP",3,"Medium",2,904,552
"HP",1,"Medium",3,1230,566
"MSI",2,"Medium",3,670,451
"Apple",6,"Medium",6,817,228
